classifier	name	script
s_qda	QDA (Scikit-Learn)	AlgorithmScripts/Classification/tsv/sklearn__functions__qda
s_sgd	SGD (Scikit-Learn)	AlgorithmScripts/Classification/tsv/sklearn__functions__sgd
s_svm_linear	SVM Linear (Scikit-Learn)	AlgorithmScripts/Classification/tsv/sklearn__functions__svm_linear
s_svm_nurbf	SVM nuRBF (Scikit-Learn)	AlgorithmScripts/Classification/tsv/sklearn__functions__svm_nurbf
s_svm_poly	SVM Polynomial (Scikit-Learn)	AlgorithmScripts/Classification/tsv/sklearn__functions__svm_poly
s_svm_rbf	SVM RBF (Scikit-Learn)	AlgorithmScripts/Classification/tsv/sklearn__functions__svm_rbf
s_svm_sigmoid	SVM Sigmoid (Scikit-Learn)	AlgorithmScripts/Classification/tsv/sklearn__functions__svm_sigmoid
s_knn	KNN (Scikit-Learn)	AlgorithmScripts/Classification/tsv/sklearn__lazy__knn
s_bagging	Bagging (Scikit-Learn)	AlgorithmScripts/Classification/tsv/sklearn__meta__bagging
s_decision_tree	Decision Tree (Scikit-Learn)	AlgorithmScripts/Classification/tsv/sklearn__trees__decision_tree
s_extra_trees	Extra Trees (Scikit-Learn)	AlgorithmScripts/Classification/tsv/sklearn__trees__extra_trees
s_random_forest	Random Forest (Scikit-Learn)	AlgorithmScripts/Classification/tsv/sklearn__trees__random_forest
